_id,numberShort,uicCountryCode,sloid,number,checkDigit,validFrom,validTo,designationOfficial,designationLong,abbreviation,operatingPoint,operatingPointWithTimetable,stopPoint,stopPointType,freightServicePoint,trafficPoint,borderPoint,hasGeolocation,isoCountryCode,cantonName,cantonFsoNumber,cantonAbbreviation,districtName,districtFsoNumber,municipalityName,fsoNumber,localityName,operatingPointType,operatingPointTechnicalTimetableType,meansOfTransport,categories,operatingPointTrafficPointType,operatingPointRouteNetwork,operatingPointKilometer,operatingPointKilometerMasterNumber,sortCodeOfDestinationStation,businessOrganisation,businessOrganisationNumber,businessOrganisationAbbreviationDe,businessOrganisationAbbreviationFr,businessOrganisationAbbreviationIt,businessOrganisationAbbreviationEn,businessOrganisationDescriptionDe,businessOrganisationDescriptionFr,businessOrganisationDescriptionIt,businessOrganisationDescriptionEn,fotComment,lv95East,lv95North,wgs84East,wgs84North,height,creationDate,editionDate,status
17685,7094,85,ch:1:sloid:7094,8507094,6,2021-04-01,9999-12-31,Uetendorf Allmend,,UEA,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Thun,247,Uetendorf,944,Uetendorf,,,TRAIN,,,true,true,8507094,,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2611933.984,1180227.9,7.59488399227,46.77312117929,555.5,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
17686,7073,85,ch:1:sloid:7073,8507073,0,2021-04-01,9999-12-31,Thurnen,,THU,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Thurnen,889,Mühlethurnen,,,TRAIN,PARK_AND_RAIL,,true,true,8507073,70730,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2605742.607,1184714.454,7.51387770203,46.81356097558,549.0,2017-11-09 21:27:43,2024-04-08 09:26:06,VALIDATED
17690,7078,85,ch:1:sloid:7078,8507078,9,2021-04-01,9999-12-31,Wabern bei Bern,,WBB,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Wabern,,,TRAIN,PARK_AND_RAIL,,true,true,8507078,70789,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2600552.596,1197507.576,7.44588875523,46.92866277717,559.7,2017-11-09 21:27:52,2024-04-08 09:26:06,VALIDATED
17691,7096,85,ch:1:sloid:7096,8507096,1,2021-04-26,9999-12-31,Papiermühle,,PAPI,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Ittigen,362,Ittigen,,,TRAIN,,,true,true,8507096,,ch:1:sboid:100066,88,RBS,RBS,RBS,RBS,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,Regionalverkehr Bern-Solothurn,,2602888.0,1202577.0,7.47658551009,46.97425730891,520.9,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
17705,7083,85,ch:1:sloid:7083,8507083,9,2021-04-01,9999-12-31,Köniz,,KOE,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Köniz,,,TRAIN,,,true,true,8507083,70839,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2598193.338,1197056.921,7.4149120576,46.92460655557,571.786,2017-11-09 21:27:58,2024-04-08 09:26:06,VALIDATED
17716,7085,85,ch:1:sloid:7085,8507085,4,2021-04-01,9999-12-31,Gasel,,GAS,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Gasel,,,TRAIN,PARK_AND_RAIL,,true,true,8507085,70854,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2597108.976,1194425.016,7.40069191182,46.90092801328,649.507,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
17722,7084,85,ch:1:sloid:7084,8507084,7,2021-04-01,9999-12-31,Moos,,MOOS,true,true,true,ORDERLY,false,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Köniz,,,TRAIN,PARK_AND_RAIL,,true,true,8507084,,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2597134.956,1195431.972,7.40102637084,46.90998593902,627.793,2017-11-09 11:53:05,2024-04-08 09:26:06,VALIDATED
17729,7087,85,ch:1:sloid:7087,8507087,0,2021-04-01,9999-12-31,Mittelhäusern,,MHN,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Mittelhäusern,,,TRAIN,,,true,true,8507087,70870,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2594594.178,1191700.257,7.36772084355,46.87640211375,668.645,2017-11-09 21:28:01,2024-04-08 09:26:06,VALIDATED
17734,7086,85,ch:1:sloid:7086,8507086,2,2021-04-01,9999-12-31,Niederscherli,,NS,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Köniz,355,Niederscherli,,,TRAIN,,,true,true,8507086,70862,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2596146.174,1192814.607,7.38807012176,46.88643697907,655.664,2017-11-09 21:28:00,2024-04-08 09:26:06,VALIDATED
17745,7089,85,ch:1:sloid:7089,8507089,6,2021-04-01,9999-12-31,Schwarzenburg,,SCBG,true,true,true,ORDERLY,true,true,false,true,CH,Bern,2,BE,Bern-Mittelland,246,Schwarzenburg,855,Schwarzenburg,,,TRAIN,PARK_AND_RAIL,,true,true,8507089,70896,ch:1:sboid:100033,52,BLS-gbs,BLS-gbs,BLS-gbs,BLS-gbs,BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),BLS AG (gbs),,2592668.358,1185333.2,7.34256155547,46.81910977831,791.799,2017-11-09 21:28:03,2024-04-08 09:26:06,VALIDATED
