placeid,name,norm,trainline,joinkey,latitude,longitude
1259,DORMELLETTO,DORMELLETTO,,DORMELLETTO,45.7234,8.58222
1260,DORMELLETTO PAESE,DORMELLETTO PAESE,,DORMELLETTO PAESE,45.73,8.57437
1261,DOSSOBUONO,DOSSOBUONO,,DOSSOBUONO,45.392154,10.914621
1263,DUBINO,DUBINO,,DUBINO,46.1728,9.43238
1265,DUEVILLE,DUEVILLE,,DUEVILLE,45.635087,11.546104
1266,EBOLI,EBOLI,,EBOLI,40.611205,15.052419
1267,ECA NASAGO`,ECA NASAGO,,ECA NASAGO,44.160556,7.964722
57,PM ECCELLENTE,PM ECCELLENTE,ECCELLENTE,ECCELLENTE,38.8096,16.2327
1268,EGNA-TERMENO,EGNA TERMENO,EGNA TERMENO NEUMARKT TRAMIN,EGNA TERMENO NEUMARKT TRAMIN,46.319499,11.257398
1270,ELLERA CORCIANO,ELLERA CORCIANO,,ELLERA CORCIANO,43.094619,12.318556
1048,ELMAS AEROPORTO,ELMAS AEROPORTO,,ELMAS AEROPORTO,39.257182,9.062949
1271,EMPOLI,EMPOLI,,EMPOLI,43.715693,10.94922
1272,ENAS,ENAS,,ENAS,40.857006,9.430978
1273,ENNA,ENNA,,ENNA,37.581094,14.289684
1275,EQUI TERME,EQUI TERME,,EQUI TERME,44.170313,10.15301
1276,ESTE,ESTE,,ESTE,45.220954,11.662919
1281,FABRIANO,FABRIANO,,FABRIANO,43.345508,12.905507
1282,FABRIANO CA' MAIANO,FABRIANO CA MAIANO,,FABRIANO CA MAIANO,43.34576,12.873442
1284,FABRO-FICULLE,FABRO FICULLE,,FABRO FICULLE,42.874869,12.041401
1286,FAE'-FORTOGNA,FAE FORTOGNA,,FAE FORTOGNA,46.227225,12.288047
1285,FAENZA,FAENZA,,FAENZA,44.293672,11.883227
3405,FAGARE',FAGARE,,FAGARE,45.705806,12.438859
1287,FAGNANO CAMPANA,FAGNANO CAMPANA,,FAGNANO CAMPANA,42.248554,13.567796
1288,FALCIANO-MONDRAGONE-CARINOLA,FALCIANO MONDRAGONE CARINOLA,,FALCIANO MONDRAGONE CARINOLA,41.123428,13.97169
1289,FALCONARA,FALCONARA,,FALCONARA,37.113511,14.052468
1291,FALCONARA MARITTIMA,FALCONARA MARITTIMA,,FALCONARA MARITTIMA,43.630376,13.397702
