"country","name","url","lon","lat","h3","population"
"FR","Ailly-sur-Noye","https://www.garesetconnexions.sncf/fr/gares-services/ailly-noye/horaires#main-content",2.36419,49.75448,612934397932339199,823
"FR","Ailly-sur-Somme","https://www.garesetconnexions.sncf/fr/gares-services/ailly-somme/horaires#main-content",2.20059,49.92838,612934401021444095,104
"FR","Aimargues","https://www.garesetconnexions.sncf/fr/gares-services/aimargues/horaires#main-content",4.2082933,43.6786107,613499742999019519,733
"FR","Aime - La Plagne","https://www.garesetconnexions.sncf/fr/gares-services/aime-plagne/horaires#main-content",6.648646,45.5544,613045800666136575,713
"GB","Ainsdale","https://www.realtimetrains.co.uk/search/simple/gb-nr:ANS",-3.042691,53.601818,612934925043105791,2212
"GB","Aintree","https://www.realtimetrains.co.uk/search/simple/gb-nr:AIN",-2.956687,53.473995,612934926058127359,2652
"IT","Airasca","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=387&arrivals=False",7.483348,44.928077,613045372624830463,85
"GB","Airbles","https://www.realtimetrains.co.uk/search/simple/gb-nr:AIR",-3.994447,55.782504,612935182617411583,3024
"GB","Airdrie","https://www.realtimetrains.co.uk/search/simple/gb-nr:ADR",-3.982952,55.864029,612930017178943487,2680
"IT","Airole","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=189&arrivals=False",7.55285,43.8705,613045518053933055,163
"IT","Airuno","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=388&arrivals=False",9.4222,45.7555,613045457846796287,582
"FR","Aiserey","https://www.garesetconnexions.sncf/fr/gares-services/aiserey/horaires#main-content",5.1582447,47.170501,613045189803507711,88
"FR","Aix-en-Provence","https://www.garesetconnexions.sncf/fr/gares-services/aix-provence/horaires#main-content",5.445345,43.522912,613499501040107519,2302
"FR","Aix-en-Provence TGV","https://www.garesetconnexions.sncf/fr/gares-services/aix-provence-tgv/horaires#main-content",5.317534,43.455237,613499488398475263,112
"FR","Aix-les-Bains le Revard","https://www.garesetconnexions.sncf/fr/gares-services/aix-bains-revard/horaires#main-content",5.909371,45.688161,613044897917698047,2206
"FR","Aixe-sur-Vienne","https://www.garesetconnexions.sncf/fr/gares-services/aixe-vienne/horaires#main-content",1.1456892,45.7965002,612919029601927167,476
"IT","Ala","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=389&arrivals=False",10.996496,45.7591,613028589484376063,631
"IT","Alanno","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=390&arrivals=False",14.019684,42.287172,613026231958372351,97
"IT","Alano Fener Valdobbiadene","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=391&arrivals=False",11.944551,45.90257,613028711695908863,42
"IT","Alassio","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=190&arrivals=False",8.171383,44.007932,613029719522148351,3343
"FR","Alaï","https://www.garesetconnexions.sncf/fr/gares-services/alai/horaires#main-content",4.7717824,45.7521198,613044811523424255,3952
"IT","Alba","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=392&arrivals=False",8.030854,44.697755,613045534397038591,5356
"IT","Alba Adriatica-Nereto-Controguerra","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=393&arrivals=False",13.917216,42.834228,613026486332424191,2570
"IT","Albacina","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=394&arrivals=False",12.986302,43.345589,613026511055749119,55
"IT","Albairate-Vermezzo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=779&arrivals=False",8.958192,45.404476,613045475297198079,49
"IT","Albano Di Lucania","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=395&arrivals=False",16.021321,40.574691,613026836349190143,22
"IT","Albano Laziale","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=396&arrivals=False",12.657899,41.726425,613026128371646463,5903
"IT","Albano S.Alessandro","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=397&arrivals=False",9.76758,45.683,613045426687311871,381
"IT","Albanova","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=398&arrivals=False",14.128768,40.996195,613026332239986687,3538
"GB","Albany Park","https://www.realtimetrains.co.uk/search/simple/gb-nr:AYP",0.126427,51.435745,612934743496851455,2720
"IT","Albaredo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=399&arrivals=False",12.014442,45.670262,613028595322847231,1124
"IT","Albate-Trecallo","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=401&arrivals=False",9.095556,45.7775,613045478904299519,2194
"IT","Albenga","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=191&arrivals=False",8.221552,44.047305,613029724622422015,2934
"FR","Albens","https://www.garesetconnexions.sncf/fr/gares-services/albens/horaires#main-content",5.9483418,45.785946,613044902801965055,357
"FR","Albert","https://www.garesetconnexions.sncf/fr/gares-services/albert/horaires#main-content",2.64453,50.00546,612934371856351231,1385
"FR","Albertville","https://www.garesetconnexions.sncf/fr/gares-services/albertville/horaires#main-content",6.383167,45.672977,613045799760166911,2283
"FR","Albi","https://www.garesetconnexions.sncf/fr/gares-services/albi/horaires#main-content",2.137958,43.92238,613498945385005055,1539
"FR","Albi Madeleine","https://www.garesetconnexions.sncf/fr/gares-services/albi-madeleine/horaires#main-content",2.1409629,43.938011,613498945122861055,1152
"FR","Albias","https://www.garesetconnexions.sncf/fr/gares-services/albias/horaires#main-content",1.4448012000000001,44.0919078,613498941062774783,311
"FR","Albigny - Neuville","https://www.garesetconnexions.sncf/fr/gares-services/albigny-neuville/horaires#main-content",4.832874,45.874921,613044817141694463,1431
"IT","Albinia","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=404&arrivals=False",11.211364,42.502302,613026562563899391,716
"IT","Albisola","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=192&arrivals=False",8.511652,44.334636,613045580276432895,2825
"IT","Albizzate Solbiate Arno","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=405&arrivals=False",8.80613,45.7233,613045396637220863,1069
"IT","Albonese","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=406&arrivals=False",8.714655,45.297911,613045361239392255,60
"GB","Albrighton","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALB",-2.268913,52.637917,612935678350589951,173
"IT","Albuzzano","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=407&arrivals=False",9.26165,45.1726,613045442216722431,1
"IT","Alcamo Diramazione","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=409&arrivals=False",12.915871,37.978939,613027920725671935,36
"IT","Alcantara","https://iechub.rfi.it/ArriviPartenze/ArrivalsDepartures/Monitor?placeId=410&arrivals=False",15.251152,37.821448,613601538008416255,901
"GB","Alderley Edge","https://www.realtimetrains.co.uk/search/simple/gb-nr:ALD",-2.236812,53.303762,612934964836564991,1562
